Week Start Date,Product ID,Product Name,Units Sold,Price ($),Discount Percentage,Revenue ($),Region,Gas Price,CPI
2024-01-07,1,Product_1,114,10.23,0.0,1164.19,USA,,309.794
2024-01-07,2,Product_2,80,10.59,10.0,767.08,USA,,309.794
2024-01-07,3,Product_3,78,10.63,10.0,747.03,USA,,309.794
2024-01-07,4,Product_4,106,10.24,10.0,973.5,USA,,309.794
2024-01-07,5,Product_5,81,10.11,10.0,741.54,USA,,309.794
2024-01-07,6,Product_6,88,10.83,0.0,948.89,USA,,309.794
2024-01-07,7,Product_7,101,11.3,0.0,1138.34,USA,,309.794
2024-01-07,8,Product_8,78,10.18,20.0,636.52,USA,,309.794
2024-01-07,9,Product_9,91,11.28,0.0,1023.88,USA,,309.794
2024-01-07,10,Product_10,105,10.71,0.0,1122.79,USA,,309.794
2024-01-07,11,Product_11,88,11.9,10.0,938.41,USA,,309.794
2024-01-07,12,Product_12,108,11.91,0.0,1282.17,USA,,309.794
2024-01-07,13,Product_13,102,11.47,0.0,1169.95,USA,,309.794
2024-01-07,14,Product_14,108,10.72,20.0,923.45,USA,,309.794
2024-01-07,15,Product_15,82,10.63,0.0,871.0,USA,,309.794
2024-01-07,16,Product_16,102,11.89,0.0,1207.22,USA,,309.794
2024-01-07,17,Product_17,63,10.42,0.0,653.24,USA,,309.794
2024-01-07,18,Product_18,96,11.25,0.0,1074.62,USA,,309.794
2024-01-07,19,Product_19,129,11.18,0.0,1437.86,USA,,309.794
2024-01-07,20,Product_20,73,11.53,10.0,761.62,USA,,309.794
2024-01-07,21,Product_21,69,10.81,10.0,670.85,USA,,309.794
2024-01-07,22,Product_22,108,11.19,10.0,1085.02,USA,,309.794
2024-01-07,23,Product_23,92,11.9,10.0,990.28,USA,,309.794
2024-01-07,24,Product_24,90,11.65,0.0,1048.08,USA,,309.794
2024-01-07,25,Product_25,75,11.83,0.0,887.08,USA,,309.794
2024-01-07,26,Product_26,120,10.6,0.0,1277.06,USA,,309.794
2024-01-07,27,Product_27,95,10.46,10.0,894.61,USA,,309.794
2024-01-07,28,Product_28,102,11.87,10.0,1084.34,USA,,309.794
2024-01-07,29,Product_29,96,10.43,0.0,1005.91,USA,,309.794
2024-01-07,30,Product_30,87,10.95,0.0,955.57,USA,,309.794
2024-01-07,31,Product_31,90,10.0,0.0,902.94,USA,,309.794
2024-01-07,32,Product_32,108,10.79,10.0,1050.98,USA,,309.794
2024-01-07,33,Product_33,95,10.07,10.0,865.26,USA,,309.794
2024-01-07,34,Product_34,117,11.29,0.0,1320.91,USA,,309.794
2024-01-07,35,Product_35,113,11.73,0.0,1329.74,USA,,309.794
2024-01-07,36,Product_36,90,10.39,10.0,838.6,USA,,309.794
2024-01-07,37,Product_37,82,10.01,20.0,654.88,USA,,309.794
2024-01-07,38,Product_38,89,10.84,10.0,864.41,USA,,309.794
2024-01-07,39,Product_39,78,12.0,0.0,938.45,USA,,309.794
2024-01-07,40,Product_40,105,10.86,20.0,909.95,USA,,309.794
2024-01-07,41,Product_41,66,10.11,0.0,671.34,USA,,309.794
2024-01-07,42,Product_42,100,10.56,0.0,1053.92,USA,,309.794
2024-01-07,43,Product_43,98,11.13,0.0,1092.55,USA,,309.794
2024-01-07,44,Product_44,131,11.6,10.0,1364.38,USA,,309.794
2024-01-07,45,Product_45,108,10.31,0.0,1112.21,USA,,309.794
2024-01-07,46,Product_46,102,11.06,0.0,1126.28,USA,,309.794
2024-01-07,47,Product_47,97,11.64,0.0,1128.55,USA,,309.794
2024-01-07,48,Product_48,80,10.29,0.0,826.9,USA,,309.794
2024-01-07,49,Product_49,106,10.18,0.0,1082.65,USA,,309.794
2024-01-07,50,Product_50,84,10.99,10.0,834.05,USA,,309.794
2024-01-14,1,Product_1,79,11.79,20.0,746.15,USA,3.073,309.794
2024-01-14,2,Product_2,153,11.62,10.0,1598.57,USA,3.073,309.794
2024-01-14,3,Product_3,128,10.86,0.0,1394.8,USA,3.073,309.794
2024-01-14,4,Product_4,114,10.27,20.0,935.7,USA,3.073,309.794
2024-01-14,5,Product_5,116,11.45,10.0,1199.92,USA,3.073,309.794
2024-01-14,6,Product_6,66,10.8,10.0,644.95,USA,3.073,309.794
2024-01-14,7,Product_7,91,11.84,0.0,1081.28,USA,3.073,309.794
2024-01-14,8,Product_8,116,11.36,0.0,1323.22,USA,3.073,309.794
2024-01-14,9,Product_9,100,10.83,0.0,1086.56,USA,3.073,309.794
2024-01-14,10,Product_10,110,11.5,10.0,1141.41,USA,3.073,309.794
2024-01-14,11,Product_11,72,11.97,0.0,863.36,USA,3.073,309.794
2024-01-14,12,Product_12,119,11.96,10.0,1276.54,USA,3.073,309.794
2024-01-14,13,Product_13,102,10.62,0.0,1078.33,USA,3.073,309.794
2024-01-14,14,Product_14,123,10.94,10.0,1215.65,USA,3.073,309.794
2024-01-14,15,Product_15,110,10.92,0.0,1201.14,USA,3.073,309.794
2024-01-14,16,Product_16,111,10.77,0.0,1192.4,USA,3.073,309.794
2024-01-14,17,Product_17,85,10.27,0.0,872.75,USA,3.073,309.794
2024-01-14,18,Product_18,130,11.81,10.0,1381.33,USA,3.073,309.794
2024-01-14,19,Product_19,68,11.87,0.0,810.25,USA,3.073,309.794
2024-01-14,20,Product_20,111,11.75,20.0,1043.11,USA,3.073,309.794
